X,Y,id,name,address,phone,stars,img
12047374.9170133,1809191.58220309,1,Brown Bean Hotel,"380 Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng, Việt Nam","2363621188",4,https://imgur.com/a/4RnQa63
12047368.2771328,1809242.45540537,2,Fortune Hotel,"360 Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng, Việt Nam","905147852",2,https://imgur.com/a/4RnQa63
12047298.5095646,1809839.99583022,3,Minh Toàn Galaxy Hotel,"306 Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000, Việt Nam","02363662288",4,https://res.cloudinary.com/ds0yzgajv/image/upload/v1743345016/QGIS%20GKY/s9goa1rjahwd9js0zj3f.jpg
12047282.1051539,1809967.71588508,4,Lamanga Hotel & Suites,"278 Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000, Việt Nam","0935585278",4,https://res.cloudinary.com/ds0yzgajv/image/upload/v1743345119/QGIS%20GKY/uyobl0l7nm7ghi4h0ymw.jpg
12047253.3974352,1810257.52714105,5,Lavender Riverside hotel,"200 Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000, Việt Nam","02363617617",4,https://res.cloudinary.com/ds0yzgajv/image/upload/v1743345204/QGIS%20GKY/fetbrrbikqsfzi9k12cu.jpg
12047397.4242554,1809012.7448327,6,Hotel & Apartment Sun City,"426 Đ. 2 Tháng 9, Hoà Cường Nam, Hải Châu, Đà Nẵng 50000, Việt Nam","0878333677",3,https://res.cloudinary.com/ds0yzgajv/image/upload/v1743345291/QGIS%20GKY/sikek2rcw0s10xw5qkpz.jpg
12047401.3300675,1808979.15484885,7,Lucky Star,"440 Đ. 2 Tháng 9, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","0899555234",3,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGB3oCTgTGr4Fwcz7TYthurYoJZb9NyRxcAsf9f_tuvefy-nCA2U-kD3GLjO2KAnMfb_JsKXAIyIWvkk8Y3Ca2o8phuLWIByf8NbZ2iaZJU25-fH_rg0A5SUj5FCxtrnp1HYkBWDK45iUFE-W7ywx0CfiPjD32wIR-6dyuxSH443LQVvJmH8hHJ=w426-h240-k-no
12047371.5482504,1808919.98179592,8,Win's Danang Homestay,"93 Lưu Quý Kỳ, Hoà Cường Nam, Hải Châu, Đà Nẵng 55000, Việt Nam","0905922381",5,https://lh5.googleusercontent.com/p/AF1QipNAqgmoAU7y2LIu3SDtDe-Fn8F4ueBVI2_nxO17=w227-h298-k-no
12047340.1064632,1808943.22137776,9,Kendy Home,"68/3 Lưu Quý Kỳ, Hoà Cường Nam, Hải Châu, Đà Nẵng 550000, Việt Nam","0935606006",3,https://lh5.googleusercontent.com/p/AF1QipP9WtsdHsX3j7AEZXYA9QN2xNU8mQHLe3WdmvCq=w224-h298-k-no
12047424.8625853,1808799.4874934,9,D-Life Hotel & Apartment Da Nang,"494 Đ. 2 Tháng 9, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","02363788788",4,https://lh5.googleusercontent.com/p/AF1QipMWhnwwSDMdr0TAdBcdvHxAMtfSNnQYYXpeJZ3P=w446-h298-k-no
12047409.239337,1808802.22156185,10,Mạnh Cường Hotel,"492 Đ. 2 Tháng 9, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","02363797917",3,https://lh5.googleusercontent.com/p/AF1QipNePfqaHPmTX_TCOiVhby82dUrS3UJLd2RrKIpJ=w428-h240-k-no
12047391.9561185,1808802.22156185,11,Tân Phương Nam hotel,"494A Đ. 2 Tháng 9, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","02362484488",4,https://lh5.googleusercontent.com/p/AF1QipPRbPAhhwME0Z0w5JOo1VbJTkivasdExNNSNvtC=w408-h489-k-no
12047369.3024085,1808796.16755313,12,Nhà Nghỉ Thịnh Phát,"106 Lưu Quý Kỳ, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","02363644135",4,https://lh5.googleusercontent.com/p/AF1QipNGu742gdd0LlRf4PnAG721OvTDlu89JDv0plU=w426-h240-k-no
12047354.1673867,1808812.86489975,13,Egg Home Danang,"102a Lưu Quý Kỳ, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","0905123456",5,https://lh5.googleusercontent.com/p/AF1QipN7PQHguuB_zgs-tFmXx0kHm-hhZIcvmgq51OOO=w408-h408-k-no
12047283.7651241,1808774.19736021,14,Khách Sạn Gia phúc Đà Nẵng,"479A Núi Thành, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","02363628868",3,https://lh5.googleusercontent.com/p/AF1QipMYfEIOQ7Z7Wp-jgtmqtg2ZjUTwvCQeYyFoYbn9=w224-h509-k-no
12047187.0962752,1808739.63092335,15,Khách Sạn Camry,"11 Tố Hữu, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","0349718535",3,https://lh5.googleusercontent.com/p/AF1QipPOxhu4GrDIni5WhhXYJ7-RxLmlcO9MjIEP4J6l=w408-h272-k-no
12047211.5076007,1808706.2362301,16,RIT Dormitory & Apartment,"23 Tiên Sơn 10, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","0905991180",5,https://lh5.googleusercontent.com/p/AF1QipMFGNx8vLEP1EXyK_zWUj2_3hB9FTHGbNElS8HH=w426-h240-k-no
12047283.1792522,1808398.26294798,18,FIRST Studio Hotel,"572 Núi Thành, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","0905189568",5,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFx4MqU5uMHt4BcIMUDIxiQf-_0-uWS6LUcmvoQSaJmsCY8Vna8Ze4YUdkBUKiOqbM5gUg_4AOT0Ja6Kqw43J1nTv6QkTvLUvrDRhkmB6xDYageOU-IE9VUR2cee7P4b0QZXwrdPPxG7_-a8GqE2L4oqFr6Z188HCgCfEU4w5HrEHXthr62c_s=w408-h612-k-no
12047447.6139406,1808593.94413294,19,Grand Citiview Danang Hotel,"572 Núi Thành, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","0905189568",4,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHiNPXtoHS1RgCzdLVz-J1KovmwBnT7rkCw9kSd9qEnr1QRv0XG_w6i9ObFhkd0t1pKE-Wo0jSDcoUXu_abDaQUnZeRzhVOuTMgXnSioMLoGFzFpK_TM2MXVsMAKNWQ8G7MA6YX2dbzI_leh-sY0MtlQe5Tl7Arg3CZx99t0M8_jsnYGHWxQu83Cw=w408-h612-k-no
12047626.8907149,1808497.86115589,17,KHÁCH SẠN TUYÊN SƠN,"Số 34 - Đường Nguyễn Lộ Trạch, P: Hòa Cường Nam Q:, Hải Châu, Đà Nẵng, Việt Nam","0935857897",3,https://lh5.googleusercontent.com/p/AF1QipNcPXklzlfItTv-pIKR5iRk7ke4vtxKTEpuwKHl=w408-h724-k-no
12047734.3005469,1808467.78640291,20,Xiaomi Hotel,"1 Nguyễn Xuân Nhĩ, Hoà Cường Nam, Hải Châu, Đà Nẵng 550000, Việt Nam","0911445388",2,https://lh5.googleusercontent.com/p/AF1QipPEE8unh79S8SWtXigcVyeY9JIqnD4iqx-n4Q1H=w408-h272-k-no
12047663.4100578,1808419.54962379,21,Khách Sạn Nhất Nhất,"111 Phạm Văn Bạch, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","26JF+QX Hải Châu, Đà Nẵng, Việt Nam",2,https://lh5.googleusercontent.com/p/AF1QipPF2zo0uC16utFFUXDZXH3YHRk7XlgzCQi85xLZ=w408-h544-k-no
12048186.7888758,1808477.74622371,22,Gomi's House,"43 Vũ Trọng Phụng, Hoà Cường Nam, Hải Châu, Đà Nẵng 50000, Việt Nam","0774472207",2,https://lh5.googleusercontent.com/p/AF1QipN8k08utosg4W0cYfXzf5ed5FfHKkH83_b4uQop=w408-h544-k-no
12047370.2788615,1808134.4253423,23,An An Homes,"63 Đ. 2 Tháng 9, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","025789456",4,https://lh5.googleusercontent.com/p/AF1QipOEhDU2elA8l84DdrwDFYFQt8-UcyVhUT3jKh7Z=w964-h240-k-no
12047287.4756455,1808166.84358252,24,Nhà Nghỉ Nhật Tân,"601 Núi Thành, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","02363565231",4,https://lh5.googleusercontent.com/p/AF1QipOpSPpPb_cZeNZCq5XqInrJnsesS4Fodct-8QXo=w408-h544-k-no
12047311.3010992,1808283.82265417,25,Vic House Hotel,"577 Núi Thành, Hoà Cường Nam, Hải Châu, Đà Nẵng 550100, Việt Nam","0905232418",4,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGxKbDFI5lYTPpLgo1wbMOI3gkwTMDanIAJwQTsTA3l0Jn1S6ceqMTXFrc-x8EPiFci7cULH4_LrohqVvlJglcr6EZrzLse3ngiOVNnTEiJ4pvg5FqaSv0BXD5aKQw8xHNH7QNqDnl8JkhkAmhMEGxL_URzGB3RbbOWS2J-hIaCX7TN_vZ-k9Z3fA=w474-h240-k-no
12047219.3192248,1808028.38254446,26,Salina Hotel,"662 Núi Thành, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","0972607879",3,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGWgWnmImioRfXKHaNWFXbp8pAkUsIhC2-LlPCqqHDMfVYxvTatMmnIwWmCv8qVdz3pxafukZeo-i_xq9RWbIvUWdGN8ADM9VO-iY2RZFEmTKqcKgtiemrG6IaPLTt5rkH7Mh2_FfAwIvmvdvw_oCWJPWXpEVXRP5LagGuNWAm10_0tPwYETDR1=w408-h269-k-no
12047393.1278622,1807894.99906209,27,Icity Villa Riverfront Danang,"246 Thăng Long, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","0905706868",4,https://lh3.googleusercontent.com/gps-proxy/ALd4DhG-rvXtFkRUmDbCnSwy7T5x8N-8_7JtxVE91DV-YKWmI1cuCtnM2ymlfF4cVlVcENOsnoUVGQD5ykdnif9087IPYzZKs-R2hv6NjnCHajwE3qURvPg2aZkOszIpsDBN3AebrjsrU652qguATc7HbroU-5R71zFa1a2iYF2NBs4KwQp6avJpdc0X=w408-h272-k-no
12047312.4728428,1807856.72210375,28,Icity Villa Riverfront Danang,"246 Thăng Long, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","0905706868",1,https://lh5.googleusercontent.com/p/AF1QipOAkkukImZFnFwdgPg-3sZVbPU0YOzI0TkGTFka=w447-h298-k-no
12046264.1528818,1807328.26572999,28,Nhật Linh ATP Galaxy,"89 Trần Phước Thành, Khuê Trung, Cẩm Lệ, Đà Nẵng 550000, Việt Nam","0905505898",4,https://lh3.googleusercontent.com/gps-proxy/ALd4DhExRKncGiB5wBHO1x_eUs8a8KabppyDX4wB-IMcuwIDYTFRLotH72Sdlwo5EaNijLAJB4z294jypLAQAcpDkm7COX7G5ZbtzhQRc0jnCvn55oX99icj8cNbsntI6F1NGBL_cnBS4N_jL3z2EDUaSQLHHLxh07E5AviFguWFpdk1ves2BdSt7G8=w408-h272-k-no
